locus,class,tissue,RPKM
AluSc8_dup17637,SINE,Basal ganglia,119.81543075751354
AluSc8_dup17637,SINE,Cerebellum,866.7348921022682
AluSc8_dup17637,SINE,Frontal cortex,80.27825486108618
AluSc8_dup17637,SINE,Spinal cord,231.26972707412494
AluSc8_dup17637,SINE,Substantia nigra,267.5742376272633
AluSc8_dup17637,SINE,Breast,1166.7566936262256
AluSc8_dup17637,SINE,Colon,853.0505793372835
AluSc8_dup17637,SINE,ESC,69.19833921565174
AluSc8_dup17637,SINE,Esophagus,660.7659848580234
AluSc8_dup17637,SINE,Heart,337.5874450757883
AluSc8_dup17637,SINE,Kidney,548.7928028860372
AluSc8_dup17637,SINE,Liver,936.5291936162375
AluSc8_dup17637,SINE,Lung,1256.84251225479
AluSc8_dup17637,SINE,mTEC-hi,1490.0205442229521
AluSc8_dup17637,SINE,mTEC-lo,2294.575681687321
AluSc8_dup17637,SINE,Skeletal muscle,282.0865909999513
AluSc8_dup17637,SINE,Ovary,1050.4961599938933
AluSc8_dup17637,SINE,Pancreas,1717.104732315164
AluSc8_dup17637,SINE,Prostate,1032.0336595101737
AluSc8_dup17637,SINE,Skin (unexposed),649.745802717061
AluSc8_dup17637,SINE,Skin (sun exposed),903.6310314558389
AluSc8_dup17637,SINE,Small intestine,1108.3816046876361
AluSc8_dup17637,SINE,Spleen,972.8975651778984
AluSc8_dup17637,SINE,Stomach,696.9121256536712
AluSc8_dup17637,SINE,Testis,855.5897102441836
AluSc8_dup17637,SINE,Thyroid,956.9536790737494
AluSg_dup19354,SINE,Adipose,526.664656764439
AluSg_dup19354,SINE,Adrenal gland,1904.6636618425255
AluSg_dup19354,SINE,Basal ganglia,330.03403516193794
AluSg_dup19354,SINE,Cerebellum,728.2315918303972
AluSg_dup19354,SINE,Frontal cortex,358.6765195332672
AluSg_dup19354,SINE,Spinal cord,214.30254729606565
AluSg_dup19354,SINE,Substantia nigra,176.44098342030026
AluSg_dup19354,SINE,Breast,584.6352708066189
AluSg_dup19354,SINE,Colon,701.4524479976601
AluSg_dup19354,SINE,ESC,56.373821504539855
AluSg_dup19354,SINE,Esophagus,442.44181744376937
AluSg_dup19354,SINE,Heart,95.85026665879592
AluSg_dup19354,SINE,Kidney,589.7250137011706
AluSg_dup19354,SINE,Liver,263.6627727960288
AluSg_dup19354,SINE,Lung,444.78410014814807
AluSg_dup19354,SINE,mTEC-hi,848.5791808325056
AluSg_dup19354,SINE,mTEC-lo,720.7337068674581
AluSg_dup19354,SINE,Skeletal muscle,70.1070806346795
AluSg_dup19354,SINE,Ovary,460.5266356911463
AluSg_dup19354,SINE,Pancreas,191.4009387022275
AluSg_dup19354,SINE,Prostate,937.7766261361653
AluSg_dup19354,SINE,Skin (unexposed),481.23922116982055
AluSg_dup19354,SINE,Skin (sun exposed),729.0457930585898
AluSg_dup19354,SINE,Small intestine,668.2060147857328
AluSg_dup19354,SINE,Spleen,1771.0064569835563
AluSg_dup19354,SINE,Stomach,417.13305382775724
AluSg_dup19354,SINE,Testis,979.864403934637
AluSg_dup19354,SINE,Thyroid,486.8290038614791
AluSg_dup25783,SINE,Adipose,1439.1486331995368
AluSg_dup25783,SINE,Adrenal gland,1553.0061850039283
AluSg_dup25783,SINE,Basal ganglia,1860.0145598709198
