gene,pt214_mTEC.hi_new_Aligned.out.bam,pt214_mTEC.lo_new_Aligned.out.bam,pt221_mTEC.hi_new_Aligned.out.bam,pt221_mTEC.lo_new_Aligned.out.bam,pt226_mTEC.hi_new_Aligned.out.bam,pt226_mTEC.lo_new_Aligned.out.bam
ENSG00000005981.13,232,639,114,346,161,272
ENSG00000006007.12,5622,5103,4521,3778,3336,2447
ENSG00000006015.17,1929,2365,1643,1760,1372,1396
ENSG00000006016.11,766,786,469,490,495,386
ENSG00000006025.12,2705,2371,1608,1775,1254,1426
ENSG00000006042.12,1241,4796,489,2328,231,1378
ENSG00000006047.13,334,87,189,65,174,40
ENSG00000006059.4,472,30,1002,38,481,14
ENSG00000006062.17,9746,7485,9520,5941,8103,5798
ENSG00000006071.14,387,69,164,49,161,10
ENSG00000006116.3,23,21,11,0,3,2
ENSG00000006118.14,4904,3079,4888,3803,3857,2164
ENSG00000006125.18,22265,24701,9894,12836,8731,11272
ENSG00000006128.12,532,61,186,24,207,17
ENSG00000006194.10,6532,7085,2928,3037,2879,3209
ENSG00000006210.7,7851,786,4114,816,3178,743
ENSG00000006282.21,6098,8884,3908,4628,3065,4408
ENSG00000006283.18,8344,5273,520,175,537,167
ENSG00000006327.13,10088,13134,5687,7012,5144,6582
ENSG00000006377.11,950,4,944,85,710,10
ENSG00000006432.15,2327,1802,1800,1583,1397,1314
ENSG00000006451.8,11632,6649,5919,4007,5930,3113
ENSG00000006453.14,5331,5459,2260,2386,2588,3033
ENSG00000006459.11,9792,5576,3746,3467,3587,2632
ENSG00000006468.14,13231,11213,5538,5069,4293,6268
ENSG00000006530.18,3053,3441,1710,1743,1572,1617
ENSG00000006534.16,248,262,296,245,261,117
ENSG00000006555.11,2650,2475,1762,1178,1579,982
ENSG00000006576.16,4792,5292,1673,2004,1607,2641
ENSG00000006606.8,94,32,45,10,49,6
ENSG00000006607.14,12809,7505,6924,4032,6021,4197
ENSG00000006611.16,294,577,174,551,150,127
ENSG00000006625.18,3153,1291,2386,1087,2754,1007
ENSG00000006634.8,1302,1426,672,545,657,570
ENSG00000006638.12,129,81,31,6,60,4
ENSG00000006652.14,28394,33579,7628,8957,9117,13233
ENSG00000006659.13,148,0,38,0,64,0
ENSG00000006695.12,2001,1752,1164,1014,869,745
ENSG00000006704.10,6445,5717,7159,4818,5989,3096
ENSG00000006712.15,18324,28935,8650,11332,9858,13735
ENSG00000006715.16,12403,11522,3687,3847,3686,4450
ENSG00000006740.17,1688,3215,638,1364,826,1701
ENSG00000006744.19,5171,5107,4077,3416,3817,2964
ENSG00000006747.15,393,172,279,442,169,77
ENSG00000006756.16,4343,5252,1895,2002,1659,2104
ENSG00000006757.12,1984,1819,914,758,644,682
ENSG00000006788.14,222,13,59,8,91,13
ENSG00000006831.10,9213,8779,5121,4370,5834,4961
ENSG00000006837.12,264,362,143,175,128,209
ENSG00000007001.12,70,110,17,17,10,14
ENSG00000007038.11,109,81,40,86,70,127
ENSG00000007047.15,3791,4739,3191,3317,2697,2762
ENSG00000007062.11,488,217,432,935,271,205
ENSG00000007080.11,2230,2345,2537,1886,2300,1474
ENSG00000007129.18,33,29,20,17,1,2
ENSG00000007168.13,28789,24096,12551,12112,12526,12225
ENSG00000007171.18,636,21,448,37,590,11
ENSG00000007174.18,271,214,29,172,106,90
ENSG00000007202.15,18895,13346,9646,7792,8522,6574
ENSG00000007216.14,240,126,125,57,149,101
ENSG00000007237.18,3800,2446,4888,2658,2538,1515
ENSG00000007255.10,638,475,833,650,832,508
ENSG00000007264.15,68,18,26,55,26,11
ENSG00000007306.15,137,0,36,0,43,0
ENSG00000007312.12,156,20,24,3,38,4
ENSG00000007314.12,2426,258,106,87,148,32
ENSG00000007341.19,1975,2081,905,1030,737,1011
ENSG00000007350.17,180,217,46,32,100,104
ENSG00000007372.23,752,498,292,125,322,187
ENSG00000007376.8,899,1003,1156,847,927,599
ENSG00000007384.15,4627,7501,2923,3353,2208,2839
ENSG00000007392.16,14047,15750,10130,12955,7400,9931
ENSG00000007402.11,2980,1784,1682,1603,2154,1195
ENSG00000007516.13,729,1916,862,6947,550,1148
ENSG00000007520.4,1514,1843,1417,1500,1263,1106
ENSG00000007541.16,3224,5230,2380,2608,1756,1737
ENSG00000007545.16,6330,8474,3773,4225,3089,4362
ENSG00000007866.21,8297,8627,4779,5135,5251,5391
ENSG00000007908.16,44538,2308,1250,233,2734,426
ENSG00000007923.16,4045,4679,2824,2648,2350,2467
ENSG00000007933.13,171,26,76,39,56,38
ENSG00000007944.15,22685,31267,6966,9676,7152,11825
ENSG00000007952.18,869,67,297,25,521,27
ENSG00000007968.7,684,644,561,275,661,147
ENSG00000008018.9,12515,9016,6463,5359,6759,5214
ENSG00000008056.14,925,549,835,554,581,346
ENSG00000008083.14,10059,5078,8104,4052,8299,3137
ENSG00000008086.13,7018,6033,1302,1638,1613,2049
ENSG00000008118.10,2374,3153,395,367,600,675
ENSG00000008128.23,3749,4652,1387,1400,1265,1367
ENSG00000008130.15,6903,7693,4802,4428,4197,3389
ENSG00000008196.13,538,0,256,1,333,1
ENSG00000008197.4,19,0,6,0,9,0
ENSG00000008226.20,1106,869,714,733,596,494
ENSG00000008256.16,4369,5563,1169,2071,1077,2186
ENSG00000008277.14,2035,569,1343,585,1205,333
ENSG00000008282.8,13840,10117,6218,4493,5709,4683
ENSG00000008283.16,4485,2178,4384,1993,4346,1317
ENSG00000008294.21,30283,26608,10542,10995,10411,11709
ENSG00000008300.17,338,702,236,1553,173,510
ENSG00000008311.15,13086,20020,3788,6077,3704,9436
ENSG00000008323.15,1901,1016,1488,895,1408,733
ENSG00000008324.11,860,828,708,564,590,526
ENSG00000008382.15,908,835,526,467,483,388
ENSG00000008394.13,1774,2092,645,1608,667,1288
ENSG00000008405.12,5359,5073,1899,2046,1704,1962
ENSG00000008438.5,168,323,347,302,48,61
ENSG00000008441.16,10994,17401,8505,12391,9453,13009
ENSG00000008513.16,20274,17355,11087,8810,10334,8438
ENSG00000008516.17,1686,1963,537,556,581,879
ENSG00000008517.16,34304,21709,25673,19363,24016,19113
ENSG00000008710.20,11206,15338,5846,10828,5238,7914
ENSG00000008735.14,727,1213,747,1264,530,761
ENSG00000008838.20,10292,10657,6583,5893,5336,4744
ENSG00000008853.16,5455,8659,2795,3345,3171,5422
ENSG00000008869.12,9472,9008,3753,3845,4344,4941
ENSG00000008952.17,13998,14380,6857,7581,5369,7078
ENSG00000008988.9,43642,51788,35594,33129,33954,34307
ENSG00000009307.16,70291,67991,35558,35820,32347,32802
ENSG00000009335.18,11927,10124,6448,5574,5945,5189
ENSG00000009413.16,14023,13588,4236,5196,3684,5300
ENSG00000009694.13,1081,356,404,279,628,634
ENSG00000009709.12,106,27,55,10,76,2
ENSG00000009724.17,677,865,216,457,238,390
ENSG00000009765.14,72,8,15,0,17,3
ENSG00000009780.15,1574,1986,857,1102,663,786
ENSG00000009790.15,6264,4424,1617,1233,2128,1553
ENSG00000009830.11,4596,4101,2728,2934,2261,2322
ENSG00000009844.16,5340,5255,2568,2756,2305,2014
ENSG00000009950.16,3123,4165,2272,2653,1746,2116
ENSG00000009954.11,14679,14845,10000,9329,8218,7582
ENSG00000010017.13,10697,9859,6577,5215,5049,4612
ENSG00000010030.14,2683,1758,2265,1597,2333,1518
ENSG00000010072.16,2092,1678,1123,983,1005,878
ENSG00000010165.20,2252,2641,1598,1564,1483,1362
ENSG00000010219.13,885,714,447,470,372,392
ENSG00000010244.18,34625,27151,14965,13301,13696,13408
ENSG00000010256.11,5840,5924,5364,4901,4793,3730
ENSG00000010270.13,2904,2404,1300,1575,1101,1504
ENSG00000010278.14,26474,17286,23651,14529,21382,11394
ENSG00000010282.15,691,848,1974,1090,682,456
ENSG00000010292.13,6546,5938,4908,3280,5024,2919
ENSG00000010295.19,2477,3631,1807,2615,1270,1700
ENSG00000010310.9,177,37,70,13,69,6
ENSG00000010318.21,476,799,297,433,265,370
ENSG00000010319.7,720,221,123,92,103,64
ENSG00000010322.16,26029,36050,11916,18125,10324,18390
ENSG00000010327.10,2016,391,207,191,325,199
ENSG00000010361.14,2162,2987,1270,1248,1141,1255
ENSG00000010379.16,99,64,43,22,59,33
ENSG00000010404.18,11899,11393,5162,5136,4009,4695
ENSG00000010438.16,43,25,49,15,101,21
ENSG00000010539.11,3705,4407,610,832,804,1169
ENSG00000010610.10,1127,1271,321,256,643,283
ENSG00000010626.15,1457,2196,744,825,637,772
ENSG00000010671.15,451,592,206,158,152,183
ENSG00000010704.18,2923,1253,2054,422,2020,679
ENSG00000010803.16,4648,7201,1932,3329,1879,3605
ENSG00000010810.17,3148,1432,887,974,902,496
ENSG00000010818.10,29455,22521,5849,6585,10666,11147
ENSG00000010932.17,2802,3662,2915,3079,2056,3144
ENSG00000011007.12,6858,5669,4220,3578,3841,3104
ENSG00000011009.11,4986,4259,3167,3197,3551,2784
ENSG00000011021.23,6503,6092,3315,3193,3135,2837
ENSG00000011028.14,766,1411,1258,1881,581,1123
ENSG00000011052.21,5937,5150,5432,4376,5383,4069
ENSG00000011083.9,147,4,143,15,129,5
ENSG00000011105.14,8189,6300,4280,3446,3559,2572
ENSG00000011114.15,5723,5472,2505,2934,2249,2833
ENSG00000011132.12,3340,3111,2229,1674,1757,1353
ENSG00000011143.17,2178,2836,1365,1408,1110,1360
ENSG00000011198.10,14912,21188,3664,5541,3903,7890
ENSG00000011201.12,5657,10287,2265,4340,1418,4355
ENSG00000011243.18,6241,8279,5309,5939,3991,4528
ENSG00000011258.16,6230,7535,2762,3293,2132,3306
ENSG00000011260.14,4332,3447,2913,2371,2719,1950
ENSG00000011275.18,9825,8316,6625,4725,5484,4222
ENSG00000011295.16,8723,7430,4739,4674,3841,4590
ENSG00000011304.20,36396,38561,21889,23657,20922,20155
ENSG00000011332.19,44,55,34,7,47,25
ENSG00000011347.10,1148,143,335,146,513,110
ENSG00000011376.12,3146,2937,1718,1763,1555,1445
ENSG00000011405.13,20328,16500,7112,7150,6955,8785
ENSG00000011422.12,3392,2569,905,801,1172,1293
ENSG00000011426.11,3931,2633,1921,1210,2724,2137
ENSG00000011451.20,5873,6016,4196,4288,3478,3230
ENSG00000011454.17,17121,18863,7787,8961,7305,10084
ENSG00000011465.17,18689,23709,12624,13905,7196,17637
ENSG00000011478.12,340,510,322,322,206,208
ENSG00000011485.15,4536,5513,3121,3189,2814,2621
ENSG00000011523.14,12082,9966,6562,5649,3878,3998
ENSG00000011566.15,8159,8386,2777,3039,2717,3798
ENSG00000011590.14,479,80,240,47,245,66
ENSG00000011600.12,345,161,170,93,145,14
ENSG00000011638.10,3451,2049,1632,659,1837,842
ENSG00000011677.13,60,0,25,4,12,0
ENSG00000012048.23,2302,1494,1398,725,1580,913
ENSG00000012061.15,4712,6794,2627,3196,2285,3323
ENSG00000012124.17,545,10,263,7,261,5
ENSG00000012171.20,1267,1846,788,2284,852,1461
ENSG00000012174.12,4129,3423,2000,1793,1756,1910
ENSG00000012211.13,3172,2920,2424,1774,2310,1489
ENSG00000012223.13,17604,8816,18077,6169,70077,1426
ENSG00000012232.9,3850,3428,2661,2607,2057,1837
ENSG00000012504.15,197,0,53,1,96,1
ENSG00000012660.14,27448,22969,10002,9029,11704,10932
ENSG00000012779.11,1219,301,1479,712,1698,141
ENSG00000012817.15,0,0,7103,7638,5952,8262
ENSG00000012822.16,16939,24724,8344,10720,6694,9678
ENSG00000012963.15,4668,5442,2306,2462,2175,2168
ENSG00000012983.11,9593,11001,3162,4095,3226,4347
ENSG00000013016.16,2006,697,2132,520,1505,396
ENSG00000013275.8,6178,4325,5164,3710,4849,2687
ENSG00000013288.9,6485,8221,3506,3782,3308,3564
ENSG00000013293.6,160,24,75,25,109,13
ENSG00000013297.11,227,119,74,48,115,31
ENSG00000013306.16,4967,4910,5028,4172,4225,2630
ENSG00000013364.19,14575,9668,11813,6700,11353,5811
ENSG00000013374.16,16540,10142,9211,5411,8275,5404
ENSG00000013375.16,7366,6675,2838,3109,2797,3376
ENSG00000013392.8,1044,820,549,667,367,412
ENSG00000013441.16,50279,49987,24871,24458,20038,26416
ENSG00000013503.10,2671,1990,1243,1077,1203,903
ENSG00000013523.10,2830,2674,1847,1649,1371,1158
ENSG00000013561.18,4142,3825,2018,2191,1561,1777
ENSG00000013563.14,1103,1201,718,647,636,521
ENSG00000013573.17,10431,4158,12805,5514,5925,2167
ENSG00000013583.10,2282,3266,1332,1925,1358,1795
ENSG00000013588.8,4514,4316,1120,1160,1103,1373
ENSG00000013619.14,1705,915,1577,845,1425,669
ENSG00000013725.14,571,462,471,124,356,109
ENSG00000013810.19,2772,1560,3248,1188,3070,767
ENSG00000014123.10,6677,5781,2769,2380,2758,2778
ENSG00000014138.9,1209,950,755,557,729,467
ENSG00000014164.7,2240,2159,1787,1629,1523,1161
ENSG00000014216.15,15216,13632,13717,9904,13208,8776
ENSG00000014257.16,1831,844,612,244,892,406
ENSG00000014641.20,11683,8394,6563,4956,6369,4250
ENSG00000014824.14,9223,8753,4449,4430,3940,3705
ENSG00000014914.21,1915,3443,1371,1776,996,1538
ENSG00000014919.12,4057,3812,2202,2093,2148,2242
ENSG00000015133.19,13320,12435,8821,9184,7400,7047
ENSG00000015153.14,2018,1815,1149,1037,862,960
ENSG00000015171.19,15712,17154,8332,9388,6887,8634
ENSG00000015285.11,190,312,171,204,137,90
ENSG00000015413.9,105,1,18,7,27,4
ENSG00000015475.18,1574,1368,1102,841,803,485
ENSG00000015479.19,34046,31044,15026,15075,12852,14460
ENSG00000015520.14,149,184,51,34,90,86
ENSG00000015532.10,6365,6659,6079,3973,4935,3289
ENSG00000015568.13,6027,5763,1769,1258,1668,1470
ENSG00000015592.16,107,94,39,71,40,61
ENSG00000015676.18,7668,9719,4454,4970,3810,4610
ENSG00000016082.15,4205,6317,2930,3689,2052,3508
ENSG00000016391.11,659,651,856,726,702,552
ENSG00000016402.13,1599,2005,637,816,740,828
ENSG00000016490.16,192,0,98,4,103,0
ENSG00000016602.9,309,0,200,11,133,28
ENSG00000016864.18,4077,4228,2866,2780,2103,2524
ENSG00000017260.19,31439,25434,15991,13131,13676,13293
ENSG00000017427.16,305,327,113,574,92,539
ENSG00000017483.15,264,1125,214,507,149,465
ENSG00000017797.13,9186,9036,5299,5130,5223,5072
ENSG00000018189.13,23712,10819,12740,6458,10030,5170
ENSG00000018236.15,698,377,239,401,205,275
ENSG00000018280.17,344,402,191,105,112,57
ENSG00000018408.14,7216,7162,3696,4097,3307,5207
ENSG00000018510.16,4193,3283,2063,1959,1807,1661
ENSG00000018607.6,6,0,0,0,0,0
ENSG00000018610.14,2395,2433,1174,1253,1036,1248
ENSG00000018625.15,1397,1091,400,452,403,287
ENSG00000018699.13,3977,4289,1626,1865,1362,1953
ENSG00000018869.16,805,448,252,271,195,235
ENSG00000019102.12,97,36,35,34,35,10
ENSG00000019144.19,3339,4969,1532,3645,883,2248
ENSG00000019169.10,2532,0,1921,4,2719,12
ENSG00000019186.10,2099,138,533,90,575,103
ENSG00000019485.13,5345,7837,1885,3194,1854,3761
ENSG00000019505.8,320,194,157,324,150,150
ENSG00000019549.13,3312,5621,1386,2362,1427,3304
ENSG00000019582.15,457087,67238,424115,41399,383516,41244
ENSG00000019991.18,790,744,273,210,276,522
ENSG00000019995.6,7416,8509,3307,3970,2948,3900
ENSG00000020129.16,2362,2813,1421,1985,1274,1331
ENSG00000020181.18,3156,3025,979,1161,1010,1650
ENSG00000020219.9,7,0,7,0,3,7
ENSG00000020256.20,3232,3554,2802,2078,2517,2173
ENSG00000020426.11,3095,2936,1485,1365,1490,1528
ENSG00000020577.14,2627,4734,502,2221,797,2824
ENSG00000020633.18,8631,840,10136,1152,9099,885
ENSG00000020922.12,8028,9364,2225,2439,2334,3405
ENSG00000021300.14,492,275,531,681,456,131
ENSG00000021355.13,25993,30515,6880,9109,12930,21414
ENSG00000021461.16,51,4,5,11,6,17
ENSG00000021488.13,212,228,127,150,127,144
ENSG00000021574.12,4959,4983,2338,2435,2023,2374
ENSG00000021645.19,3546,3751,3310,2407,1998,2558
ENSG00000021762.20,2949,3384,3523,2017,1463,1496
ENSG00000021776.11,10386,7585,4171,3328,4397,3631
ENSG00000021826.17,1526,163,658,201,917,282
ENSG00000021852.13,7,19,6,3,14,4
ENSG00000022267.19,2574,8308,1294,5163,1081,4182
ENSG00000022277.12,5953,5639,4559,3331,4206,3108
ENSG00000022355.18,691,361,26,13,156,94
ENSG00000022556.16,4610,2737,1849,906,151,16
ENSG00000022567.9,6211,5392,1633,1886,2425,3397
ENSG00000022840.16,15057,15212,9123,8615,8314,7640
ENSG00000022976.15,1704,1892,984,932,823,1031
ENSG00000023041.11,4816,5477,2525,2707,1934,2766
ENSG00000023171.18,6250,2393,4761,1551,3767,1105
ENSG00000023191.17,9845,11485,8025,7801,7496,5875
ENSG00000023228.14,7386,5614,3608,2885,3412,2183
ENSG00000023287.13,24431,25033,7396,8232,8064,11054
ENSG00000023318.8,7298,5644,3485,2747,3400,2520
ENSG00000023330.15,12425,5794,7225,3199,7725,2807
ENSG00000023445.15,128518,50549,50775,22006,40562,26744
ENSG00000023516.9,15932,16261,5172,5495,4161,5976
ENSG00000023572.9,1830,1673,918,994,760,924
ENSG00000023608.5,2084,2484,877,1114,764,1298
ENSG00000023697.13,2187,1430,1483,1058,1383,978
