refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name,tau,Adipose_Subcutaneous,Adrenal_Gland,Brain_Cerebellum,Brain_Frontal_Cortex_(BA9),Brain_Spinal_cord_(cervical_c1),Breast_Mammary_Tissue,Colon_Transverse,Esophagus_Mucosa,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Muscle_Skeletal,Ovary,Pancreas,Prostate,Skin_Not_Sun_Exposed_(Suprapubic),Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid
NM_002240,3763,ENSG00000157542,KCNJ6,0.86784245451742,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_203451,400120,ENSG00000180440,SERTM1,0.823558501158001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,140578,ENSG00000154645,CHODL,0.844724923226262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,92086,ENSG00000149435,GGTLC1,0.925988121289288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NM_007084,11166,ENSG00000125285,SOX21,0.841895117560371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_001322,1470,ENSG00000170369,CST2,0.896469079072508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NM_005073,6564,ENSG00000088386,SLC15A1,0.823618211195092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_152855,3543,ENSG00000128322,IGLL1,0.975510029523633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_025227,80341,ENSG00000078898,BPIFB2,0.954324756731703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152611,164312,ENSG00000125872,LRRN4,0.916570087915171,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000225831,RPS18P1,0.940488478194423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_033129,85508,ENSG00000215397,SCRT2,0.948251796910263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_145020,220136,ENSG00000172361,CFAP53,0.841555099878116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001303508,91464,ENSG00000175329,ISX,0.95428349018862,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_002930,6014,ENSG00000152214,RIT2,0.912730448890059,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,64693,ENSG00000212710,CTAGE1,0.996981817816634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001371101,147323,ENSG00000174448,STARD6,0.949913783173416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_016583,51297,ENSG00000198183,BPIFA1,0.98359396446942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM_020783,6860,ENSG00000132872,SYT4,0.895045477760704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_181621,337959,ENSG00000182816,KRTAP13-2,0.982067691834256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_000343,6523,ENSG00000100170,SLC5A1,0.807791680835627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,NA,ENSG00000215456,BCRP4,0.991319144849518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_152512,150350,ENSG00000176177,ENTHD1,0.9887752696232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_016378,51480,ENSG00000177504,VCX2,0.996012101581463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_015879,51046,ENSG00000177511,ST8SIA3,0.908195627872328,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_080610,128821,ENSG00000101435,CST9L,0.996672759610485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_016379,51481,ENSG00000169059,VCX3A,0.980804611460709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
