refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
,57494,ENSG00000166532,RIMKLB
,6456,ENSG00000107295,SH3GL2
,10841,ENSG00000160282,FTCD
NM_016511,51267,ENSG00000150048,CLEC1A
NM_001319164,140683,ENSG00000131050,BPIFA2
NM_138382,92129,ENSG00000147223,RIPPLY1
NM_001136540,8542,ENSG00000100342,APOL1
NM_001081551,55894,ENSG00000176797,DEFB103A
NM_199138,219287,ENSG00000165566,AMER2
,57509,ENSG00000129422,MTUS1
NM_016529,51761,ENSG00000132932,ATP8A2
NM_182899,9586,ENSG00000146592,CREB5
NM_001955,1906,ENSG00000078401,EDN1
,55244,ENSG00000142494,SLC47A1
NM_021010,1670,ENSG00000164816,DEFA5
,57381,ENSG00000126785,RHOJ
NM_139318,27133,ENSG00000140015,KCNH5
,8537,ENSG00000064787,BCAS1
,84700,ENSG00000133454,MYO18B
NM_002258,3820,ENSG00000111796,KLRB1
NM_001370154,57705,ENSG00000128815,WDFY4
NM_018476,55859,ENSG00000133169,BEX1
NM_002543,4973,ENSG00000173391,OLR1
NM_021938,60680,ENSG00000161082,CELF5
NM_003226,7033,ENSG00000160180,TFF3
NM_001650,361,ENSG00000171885,AQP4
,150248,ENSG00000169314,C22orf15
,121793,ENSG00000153495,TEX29
NM_001258406,730249,ENSG00000102794,ACOD1
,392465,ENSG00000171433,GLOD5
,5800,ENSG00000151490,PTPRO
NM_005603,5205,ENSG00000081923,ATP8B1
NM_001303256,22880,ENSG00000133422,MORC2
NM_001349351,27255,ENSG00000134115,CNTN6
,51473,ENSG00000146038,DCDC2
NM_182647,4987,ENSG00000125510,OPRL1
NM_001010977,196541,ENSG00000139780,METTL21C
NM_001256253,2015,ENSG00000174837,ADGRE1
NM_001284423,25924,ENSG00000170011,MYRIP
NM_003098,6640,ENSG00000101400,SNTA1
NM_000452,6555,ENSG00000125255,SLC10A2
NM_004867,9452,ENSG00000078596,ITM2A
,2852,ENSG00000164850,GPER1
,63976,ENSG00000142611,PRDM16
NM_019851,26281,ENSG00000078579,FGF20
NM_080389,140596,ENSG00000176782,DEFB104A
NM_080473,140628,ENSG00000130700,GATA5
NM_004139,3929,ENSG00000129988,LBP
,51298,ENSG00000105549,THEG
NM_015567,26050,ENSG00000165300,SLITRK5
NM_017539,55567,ENSG00000158486,DNAH3
NM_152321,121506,ENSG00000139055,ERP27
NM_207032,1908,ENSG00000124205,EDN3
NM_001352242,115584,ENSG00000158865,SLC5A11
NM_001207010,160364,ENSG00000172322,CLEC12A
NM_144636,131474,ENSG00000163528,CHCHD4
NM_020344,25769,ENSG00000155886,SLC24A2
,2346,ENSG00000086205,FOLH1
NM_170744,219699,ENSG00000107731,UNC5B
NM_017662,140803,ENSG00000119121,TRPM6
NM_001348355,4542,ENSG00000142347,MYO1F
,400224,ENSG00000175985,PLEKHD1
NM_017781,54905,ENSG00000073067,CYP2W1
NM_001319982,55138,ENSG00000171847,FAM90A1
NM_002409,4248,ENSG00000128268,MGAT3
NM_006205,5149,ENSG00000139053,PDE6H
,55237,ENSG00000133980,VRTN
,63895,ENSG00000154864,PIEZO2
NM_002301,3948,ENSG00000166796,LDHC
NM_018423,55359,ENSG00000060140,STYK1
NM_031474,83714,ENSG00000053702,NRIP2
NM_001024598,390992,ENSG00000173673,HES3
,221711,ENSG00000153157,SYCP2L
NM_001328619,6518,ENSG00000142583,SLC2A5
,79838,ENSG00000103534,TMC5
,79820,ENSG00000133962,CATSPERB
NM_001318125,84647,ENSG00000138308,PLA2G12B
,23746,ENSG00000129221,AIPL1
NM_001202,652,ENSG00000125378,BMP4
NM_032664,84750,ENSG00000172728,FUT10
NM_021957,2998,ENSG00000111713,GYS2
,340156,ENSG00000145949,MYLK4
,1149,ENSG00000176194,CIDEA
NM_000689,216,ENSG00000165092,ALDH1A1
NM_001146334,23148,ENSG00000136274,NACAD
NM_000557,8200,ENSG00000125965,GDF5
,8514,ENSG00000069424,KCNAB2
,26509,ENSG00000138119,MYOF
NM_021048,4109,ENSG00000124260,MAGEA10
NM_001172560,6755,ENSG00000162009,SSTR5
NM_207366,346288,ENSG00000154997,SEPTIN14
NM_138715,4481,ENSG00000038945,MSR1
,222643,ENSG00000124602,UNC5CL
NM_001727,680,ENSG00000102239,BRS3
NM_001010873,222642,ENSG00000112212,TSPO2
NM_021071,420,ENSG00000111339,ART4
NM_032048,84034,ENSG00000132205,EMILIN2
NM_207341,22917,ENSG00000149506,ZP1
NM_003803,8736,ENSG00000101605,MYOM1
,256979,ENSG00000164744,SUN3
NM_016848,53358,ENSG00000148082,SHC3
NM_012465,7093,ENSG00000095587,TLL2
NM_001256536,56341,ENSG00000111218,PRMT8
NM_001320855,59,ENSG00000107796,ACTA2
NM_000900,4256,ENSG00000111341,MGP
NM_001370156,143241,ENSG00000170788,DYDC1
NM_014431,27143,ENSG00000107719,PALD1
,140711,ENSG00000101342,TLDC2
NM_145270,146325,ENSG00000161992,PRR35
NM_020433,57158,ENSG00000149596,JPH2
NM_001291960,956,ENSG00000168032,ENTPD3
,10110,ENSG00000101049,SGK2
NM_198992,341359,ENSG00000110975,SYT10
,7306,ENSG00000107165,TYRP1
NM_001170962,3547,ENSG00000147255,IGSF1
,27290,ENSG00000122711,SPINK4
,79899,ENSG00000135362,PRR5L
,8756,ENSG00000069206,ADAM7
NM_006065,10326,ENSG00000101307,SIRPB1
NM_020157,56914,ENSG00000125879,OTOR
NM_001044,6531,ENSG00000142319,SLC6A3
NM_024829,79887,ENSG00000121316,PLBD1
,10249,ENSG00000149124,GLYAT
NM_001308,1369,ENSG00000120054,CPN1
NM_001346793,26287,ENSG00000165887,ANKRD2
NM_152429,143282,ENSG00000174721,FGFBP3
,57699,ENSG00000124772,CPNE5
NM_014460,27254,ENSG00000172346,CSDC2
,343,ENSG00000103375,AQP8
,221476,ENSG00000164530,PI16
NM_002062,2740,ENSG00000112164,GLP1R
NM_001305115,78986,ENSG00000133878,DUSP26
NM_006043,9956,ENSG00000122254,HS3ST2
NM_000349,6770,ENSG00000147465,STAR
NM_001300732,79905,ENSG00000170537,TMC7
NM_178491,140902,ENSG00000101074,R3HDML
,340024,ENSG00000174358,SLC6A19
,170690,ENSG00000145536,ADAMTS16
NM_016267,51442,ENSG00000102243,VGLL1
NM_182970,140730,ENSG00000101098,RIMS4
NM_007150,7739,ENSG00000147394,ZNF185
NM_022161,79444,ENSG00000101197,BIRC7
NM_030795,81551,ENSG00000015592,STMN4
,84766,ENSG00000130038,CRACR2A
NM_181808,353497,ENSG00000130997,POLN
,765,ENSG00000131686,CA6
NM_001010847,126755,ENSG00000162494,LRRC38
NM_032918,85004,ENSG00000134533,RERG
NM_020546,108,ENSG00000078295,ADCY2
NM_018437,55363,ENSG00000136929,HEMGN
,148870,ENSG00000162592,CCDC27
NM_015557,26038,ENSG00000116254,CHD5
,729085,ENSG00000144649,GASK1A
,51266,ENSG00000165682,CLEC1B
NM_001077242,91614,ENSG00000121690,DEPDC7
NM_020660,57369,ENSG00000159248,GJD2
NM_173199,8013,ENSG00000119508,NR4A3
NM_001270523,5015,ENSG00000165588,OTX2
,3293,ENSG00000130948,HSD17B3
NM_002025,2334,ENSG00000155966,AFF2
,10867,ENSG00000011105,TSPAN9
,80127,ENSG00000119636,BBOF1
NM_020882,57642,ENSG00000101203,COL20A1
NM_001304384,152110,ENSG00000163491,NEK10
NM_001080425,56271,ENSG00000102409,BEX4
NM_001316887,10761,ENSG00000170965,PLAC1
NM_001031666,932,ENSG00000149516,MS4A3
NM_033403,85443,ENSG00000163673,DCLK3
NM_001256573,1137,ENSG00000101204,CHRNA4
NM_144499,2779,ENSG00000114349,GNAT1
NM_001300984,4948,ENSG00000104044,OCA2
NM_001173517,79649,ENSG00000129680,MAP7D3
NM_000772,1562,ENSG00000108242,CYP2C18
,4143,ENSG00000151224,MAT1A
NM_152413,137362,ENSG00000169154,GOT1L1
NM_004183,7439,ENSG00000167995,BEST1
,81029,ENSG00000111186,WNT5B
,23500,ENSG00000146122,DAAM2
NM_000814,2562,ENSG00000166206,GABRB3
,1400,ENSG00000072832,CRMP1
