Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1423652_at,193.424744,214.00463,-0.90383438900364,0.367863701297709,Isca1,69046
1437252_at,133.284013,147.461876,-0.903854044281927,0.178346265790022,Gatsl2,80909
1446476_at,17.0241264,18.8348492,-0.903863164457935,0.075653968484419,Trav12n-2,100043270
1458725_at,8.75019372,9.6808648,-0.903864881988642,0.060374531142737,,
1433003_at,11.0189366,12.1909106,-0.903864933600613,0.259275652287803,4933423N03Rik,71170
1443512_at,25.691789,28.4241168,-0.903872904152997,0.468723202424548,,
1418631_at,313.078902,346.362546,-0.903905187254283,0.097016946670776,Ube2h,22214
1445606_a_at,31.2057064,34.5230722,-0.90390873150623,0.231859478468287,2900009J06Rik,100502745
1421770_a_at,30.066614,33.2627456,-0.903912574192312,0.094226906140683,Tlx2,21909
1420898_at,67.2869722,74.438396,-0.903928292597815,0.082696538874632,Snap23,20619
1456249_x_at,10.2029291,11.287108,-0.903945377327833,0.191017260981164,Syp,20977
1436684_a_at,203.074538,224.646436,-0.9039740029528,0.317006062268852,Riok2,67045
1454354_at,8.8315628,9.7696739,-0.903977235105053,0.147643376534704,8030476L19Rik,77167
1446279_at,7.93616846,8.7789848,-0.903996149987639,0.086738283426338,,
1426246_at,105.649978,116.8697958,-0.903997284129763,0.292099943714254,Pros1,19128
1440109_at,12.0662082,13.3474746,-0.904006829876268,0.128839931234264,D7Ertd413e,52325
1418289_at,56.5189324,62.520263,-0.904009831180653,0.055696893529073,Nes,18008
1453274_at,14.7511224,16.317364,-0.904013810073735,0.214142308833209,Ccdc103,73293
1423465_at,167.509106,147.807272,-1.13329407770952,0.021491923222422,Frrs1,20321
1444070_at,10.1908237,11.2725554,-0.904038466734881,0.162557092375961,AA914427,53959
1453682_at,51.5778192,57.0522766,-0.904044891347946,0.151407150996967,Gm16740,100504029
1441474_at,14.1501576,15.6512078,-0.904093650842717,0.257971988300199,C130070B15Rik,320891
1424658_at,32.7624286,36.2377808,-0.904095887681952,0.8263560811237,Taok1,216965
1420857_at,37.0988178,41.0333736,-0.904113275248711,0.234151381205552,Lancl2,71835
1447328_at,11.356273,12.5603035,-0.904140015406475,0.188184604387883,,
1424446_at,82.0814572,90.783461,-0.904145494078486,0.26612951264073,Armc7,276905
1460727_at,115.7103168,127.977467,-0.904146015016847,0.110634925651557,Ercc2,13871
1416131_s_at,388.830364,430.051448,-0.904148482253221,0.092532648059378,Efr3a,76740
1435460_at,177.999924,196.866732,-0.904164569562723,0.412202767913883,Prkg2,19092
1433850_at,3007.68716,2654.01256,-1.13326033392999,0.019410424443479,Ppp4r2,232314
1436710_at,66.4303324,73.471167,-0.904168738738014,0.158043375054367,Zswim4,212168
1451202_at,379.437958,419.65311,-0.904170489764749,0.050199442813366,C330007P06Rik,77644
1432462_a_at,163.290492,144.094736,-1.13321621964039,0.002134952609285,Med27,68975
1450450_at,11.185167,12.3704824,-0.904181958174889,0.321254452728303,Rcan3,53902
1458383_at,43.442474,38.336984,-1.13317401285401,0.040068047856662,,
