Ensembl,EntrezGene,ProbeSetID,WTaverage,KOaverage,FoldChange,StudentTTEST,GeneSymbol
ENSMUSG00000096775,545007,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000095912,666329,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000031444,14058,1449305_at,169.63527,63.8939952,-2.65494855140941,5.51659275165175e-5,F10
ENSMUSG00000079110,12335,1426043_a_at,103.330948,38.9418444,-2.65346825739974,3.23603362985282e-5,Capn3
NA,100042103,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
NA,414104,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
NA,414119,1433865_at,23.5975,8.938077,-2.64010927630183,0.007651502046067,E330010L02Rik///E330016L19Rik///Gm3669
ENSMUSG00000027338,26434,1425681_a_at,67.023822,25.4941392,-2.6289894110251,1.1714966284e-4,Prnd
ENSMUSG00000053398,236539,1426657_s_at,826.744488,314.66266,-2.62739941243743,3.95560473970321e-5,Gm8096///Phgdh
ENSMUSG00000110372,666422,1426657_s_at,826.744488,314.66266,-2.62739941243743,3.95560473970321e-5,Gm8096///Phgdh
ENSMUSG00000029811,76507,1424600_at,1077.275066,410.61469,-2.62356679445638,4.40991267008672e-5,Abp1
ENSMUSG00000113095,666185,1435217_at,26.6486344,10.2223856,-2.60688996118479,0.0112606589422,Gm7969
ENSMUSG00000058427,20310,1449984_at,2599.34146,997.47265,-2.60592755099601,4.48913441144e-4,Cxcl2
ENSMUSG00000031289,16165,1422177_at,413.533888,159.54444,-2.59196677740697,7.39386312523804e-5,Il13ra2
ENSMUSG00000009551,70730,1447773_x_at,164.782202,63.6655088,-2.58824919655712,6.25327762182623e-6,6330409D20Rik
ENSMUSG00000046598,71911,1426959_at,75.0533602,29.0248792,-2.58582851225097,0.003608871072907,Bdh1
ENSMUSG00000001168,246729,1425049_at,77.0432738,29.801636,-2.58520283248879,2.26783381523e-4,Oas1h
