Ensembl,gene_symbol,Aire_pos_TEC,Aire_ko_TEC,fold_change,FDR_BH
ENSMUSG00000024647,Cbln2,50.3564058379,0.616416619216,0.0122410765613,1.32007047482e-14
ENSMUSG00000024261,Syt4,149.203923106,1.82992657984,0.0122646009686,7.10278872665e-34
ENSMUSG00000020081,Tacr2,196.724754153,2.42701992125,0.0123371353631,1.62242230912e-36
ENSMUSG00000070799,Psg26,48.9735635376,0.616416619216,0.012586721788,2.74289216892e-14
ENSMUSG00000000182,Fgf23,290.731621842,3.67917643749,0.0126548891179,1.04754763325e-50
ENSMUSG00000064156,Prol1,47.0383789397,0.59709334141,0.0126937482726,2.41180012888e-13
ENSMUSG00000068699,Flnc,948.571428151,12.057806495,0.0127115429974,1.55575400345e-105
ENSMUSG00000055027,Smyd1,472.543370015,6.00957996971,0.0127175204458,7.29167078923e-60
ENSMUSG00000009350,Mpo,2853.61350179,36.4632686522,0.0127779282756,1.12331130464e-56
ENSMUSG00000039661,Dusp26,46.6043123486,0.59709334141,0.0128119762168,2.44003681281e-8
ENSMUSG00000057805,1700084M14Rik,46.5881838432,0.59709334141,0.0128164116339,2.46535410483e-13
ENSMUSG00000004948,Zp3,326.309425912,4.25694650109,0.013045735621,1.17051234321e-18
ENSMUSG00000044594,Serpinb3a,233.127682057,3.06275981827,0.0131376925779,5.3916011442e-44
ENSMUSG00000079428,Tceal7,45.1139466787,0.59709334141,0.0132352273602,1.43288551721e-13
ENSMUSG00000029096,Htra3,500.010883124,6.68396642235,0.0133676418813,1.54878472399e-51
ENSMUSG00000038932,Tcfl5,44.604613729,0.59709334141,0.0133863583045,2.63142708916e-13
ENSMUSG00000074665,Bpifb4,181.431443267,2.44634319906,0.0134835679804,7.42003332257e-15
ENSMUSG00000020908,Myh3,2450.57011608,33.2072760559,0.0135508369412,2.02364537289e-188
ENSMUSG00000032269,Htr3a,87.842513663,1.19418668282,0.0135946324054,2.25976864027e-14
ENSMUSG00000006522,Itih3,716.756698204,9.76604951843,0.0136253341516,7.95899418933e-67
ENSMUSG00000022209,Dhrs2,224.443544125,3.08208309608,0.0137321084823,3.27503258341e-41
ENSMUSG00000031727,Pmfbp1,44.572356718100004,0.616416619216,0.0138295720622,4.18521904127e-13
ENSMUSG00000034391,Fbxo15,131.878656589,1.82992657984,0.0138758357658,3.53112017591e-22
ENSMUSG00000052099,Prss51,44.1544186325,0.616416619216,0.0139604741339,2.09557916275e-8
ENSMUSG00000022598,Psca,1476.6383968,20.6489926084,0.0139837841499,2.62583745341e-31
ENSMUSG00000026272,Agxt,258.064658922,3.62120660407,0.0140321678264,2.0816605618e-42
ENSMUSG00000030732,Chrdl2,86.3897811725,1.21350996063,0.0140469155513,2.77034583035e-19
ENSMUSG00000024386,Proc,42.1708485183,0.59709334141,0.0141589121962,1.27490070665e-10
ENSMUSG00000041708,Mpped1,171.798529625,2.44634319906,0.0142396049861,1.13717582247e-34
ENSMUSG00000049436,Upk1b,126.245140187,1.81060330204,0.0143419643668,7.20383045242e-14
ENSMUSG00000030235,Slco1c1,84.5191105963,1.21350996063,0.0143578174458,1.52262012708e-9
ENSMUSG00000014351,Gip,1371.06880704,19.858666489,0.0144840772301,5.88195290464e-29
ENSMUSG00000021922,Itih4,953.903879119,14.0229960195,0.0147006384254,4.05885023102e-48
ENSMUSG00000058618,AY761184,39.8015973293,0.59709334141,0.0150017431831,1.97778379632e-10
ENSMUSG00000042031,Lce3b,118.477520953,1.79128002423,0.0151191551767,4.94506593656e-21
ENSMUSG00000028715,Cyp4a14,40.310930279,0.616416619216,0.0152915503301,2.18583148006e-12
ENSMUSG00000039672,Kcne2,199.581833618,3.08208309608,0.0154427035778,8.64766820162e-38
ENSMUSG00000033053,1700028P14Rik,38.4348835344,0.59709334141,0.0155351932022,1.40498055345e-9
ENSMUSG00000066756,Igfl3,39.3298975589,0.616416619216,0.0156729780009,1.13031050744e-11
ENSMUSG00000027480,Sun5,39.308392885,0.616416619216,0.0156815523092,3.0450667053e-9
ENSMUSG00000064272,Gpbar1,38.3918741866,0.616416619216,0.0160559137129,1.98947117574e-11
ENSMUSG00000026835,Fcnb,76.7676198677,1.23283323843,0.0160592869827,1.41203351463e-12
ENSMUSG00000033191,Tie1,75.3202635456,1.21350996063,0.0161113345002,1.4892863369e-7
ENSMUSG00000026497,Mixl1,75.2772541978,1.21350996063,0.0161205396445,5.4544958443e-11
ENSMUSG00000025461,Cd163l1,187.515154765,3.02411326266,0.0161273005718,1.66692028299e-17
ENSMUSG00000037974,Muc5ac,4851.31209388,78.8395008851,0.0162511706853,1.47529897007e-76
ENSMUSG00000000724,Cryba1,73.9212927398,1.21350996063,0.0164162437594,6.72723786307e-19
ENSMUSG00000070366,Ppapdc1a,37.4699793197,0.616416619216,0.0164509463418,1.28837048074e-7
ENSMUSG00000030851,Ldhc,110.84430593,1.82992657984,0.0165089813544,3.31436546223e-23
ENSMUSG00000023433,Cela3b,220.278888718,3.64052988188,0.0165269123295,8.59808938406e-16
ENSMUSG00000090550,Prlh,36.0064944922,0.59709334141,0.0165829345464,1.31400213919e-10
ENSMUSG00000037393,Nmur2,255.282845816,4.23762322329,0.0165997178923,4.15206183935e-45
ENSMUSG00000022715,Cldn26,36.939141696,0.616416619216,0.0166873563086,5.98985913239e-11
ENSMUSG00000032134,Muc16,71.5520415509,1.19418668282,0.0166897639387,1.46437270806e-15
ENSMUSG00000076434,Wfdc3,35.5562993957,0.59709334141,0.0167928989113,8.02517899411e-7
ENSMUSG00000001168,Oas1h,572.924262301,9.70807968501,0.0169447871626,5.73726538893e-71
ENSMUSG00000053184,Spaca3,35.0523426144,0.59709334141,0.0170343348511,2.55325264253e-10
ENSMUSG00000030048,Gkn3,35.9688613128,0.616416619216,0.0171375071859,6.51890827733e-11
ENSMUSG00000016179,Camk1g,69.5577190997,1.19418668282,0.0171682840995,6.32207822368e-18
ENSMUSG00000026085,Lyg1,70.0831805549,1.21350996063,0.0173152809421,7.86179323874e-10
ENSMUSG00000045232,Rln3,554.827633634,9.70807968501,0.0174974696581,6.45120680729e-36
ENSMUSG00000066652,Lefty2,933.111456042,16.3340762739,0.0175049573855,1.40835163524e-93
ENSMUSG00000038598,AI481877,34.0766860627,0.59709334141,0.0175220483679,2.13051265495e-10
ENSMUSG00000030109,Slc6a12,136.236854061,2.38837336564,0.0175310372667,1.13124091455e-27
ENSMUSG00000071773,Rhox1,34.0283005464,0.59709334141,0.0175469633165,6.27692958799e-10
ENSMUSG00000047441,Antxrl,34.9878285927,0.616416619216,0.0176180301554,6.16977216547e-10
ENSMUSG00000032999,Nlrp4f,33.6049862923,0.59709334141,0.0177679983624,6.8030629284e-10
ENSMUSG00000026818,Cel,648.061736118,11.518682987,0.0177740519847,5.63076557207e-46
ENSMUSG00000034783,Cd207,337.249915495,6.04822652532,0.0179339600914,8.55323619079e-36
ENSMUSG00000061937,Csn1s2a,1180.68044431,21.2654092277,0.0180111471569,2.11268014305e-122
ENSMUSG00000023336,Wfdc1,102.6264916,1.84924985765,0.0180192251418,9.51817941906e-23
ENSMUSG00000020799,Tekt1,134.387688158,2.42701992125,0.0180598383268,2.9506523997e-16
ENSMUSG00000028713,Cyp4b1,66.7597774881,1.21350996063,0.0181772619126,4.41993270295e-12
ENSMUSG00000032532,Cck,465.950325566,8.47524644657,0.0181891630535,1.09272707172e-39
ENSMUSG00000040554,Aipl1,857.898715866,15.7176596547,0.0183211133949,1.22733917784e-33
ENSMUSG00000041476,Smpx,32.1415014648,0.59709334141,0.0185770208048,5.06518908976e-10
ENSMUSG00000070423,Olfr558,32.1361252963,0.59709334141,0.0185801286217,9.18581745569e-7
ENSMUSG00000030507,Dbx1,32.1307491278,0.59709334141,0.0185832374786,4.06112322122e-8
ENSMUSG00000038891,Prl3b1,99.3084647016,1.84924985765,0.0186212712401,1.30294981487e-21
ENSMUSG00000027606,Dnajc5b,33.101029511,0.616416619216,0.0186222793769,9.269068368e-6
ENSMUSG00000048775,Serpinb13,161.222216442,3.00478998485,0.0186375677693,1.66460088567e-31
ENSMUSG00000040205,Cuzd1,194.886340588,3.64052988188,0.0186802721571,1.32972574505e-36
ENSMUSG00000023945,Slc5a7,63.8758171809,1.19418668282,0.0186954427438,1.88113948819e-16
ENSMUSG00000033737,Fndc3c1,98.7883794149,1.84924985765,0.0187193055357,3.82503859968e-22
ENSMUSG00000078949,R3hdml,65.7626162626,1.23283323843,0.0187467182496,3.65808018303e-12
ENSMUSG00000024552,Slc14a2,225.44070535,4.29559305671,0.0190542034103,1.60105402388e-19
ENSMUSG00000034467,Dynlrb2,128.716538577,2.46566647686,0.0191557860717,5.72618820733e-10
ENSMUSG00000004035,Gstm7,314.301884913,6.02890324752,0.019181887023,1.67484493457e-49
ENSMUSG00000003476,Crhr2,62.8840321238,1.21350996063,0.0192975850886,6.5172200769e-10
ENSMUSG00000021337,Scgn,220.252007876,4.25694650109,0.0193276172242,1.47344419045e-38
ENSMUSG00000015652,Steap1,30.7371544906,0.59709334141,0.0194257845694,9.20299665748e-10
